timestamp,mac,frequency,length,rssi,crc,expected,srcmac,transctr,pkctr,txnumpk,txpower,txifdur,txlength,txfillbyte
2015-04-08_22.34.44,14-15-92-00-12-91-ca-25,11,100,-84,0,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b3-6b,11,100,-65,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-bc-63,11,100,-87,0,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-cb-e9,11,100,-78,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-c3-b1,11,100,-78,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-b7-23,11,100,-81,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-ca-c8,11,100,-68,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-bc-12,11,100,-76,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-ce-d3,11,100,-88,0,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-be-f4,11,100,-54,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-cb-08,11,100,-84,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-92-1b-fa,11,100,-65,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-ce-38,11,100,-69,1,1,14-15-92-00-12-91-b2-7b,1,1,10,0,100,100,0x0a
2015-04-08_22.34.44,14-15-92-00-12-91-be-d4,11,100,-84,1,1,14-15-92-00-12-91-b2-7b,1,0,10,0,100,100,0x0a
